country_of_origin,region,altitude,company
Malawi,mzuzu,1180m,mzuzu coffee planters coop union
Malawi,southern- zomba,990-1000m,r.w.j wallace ltd
Malawi,mzuzu,1450 m,mzuzu coffee planters coop union
Malawi,kakoma,1556m,mzuzu coffee planters coop union
Mauritius,chamarel (south west),280,compagnie sucrière de bel ombre ltd
Mexico,totutla,1400,
Mexico,yajalon,1400,
Mexico,la concordia,1650,finca las nubes
Mexico,"la concordia, chiapas",1400,union ramal santa cruz spr de ri
Mexico,tuxtla gutierrez,1650,"productora agricola y ganadera finca la suiza, s.p.r. de r.l. de c.v."
Mexico,"sacún palma, municipio de chilón, chiapas",940,"estrategias constructivas corzu, s.a. de c.v."
Mexico,coatepec,750,
Mexico,tepictla,1250,
Mexico,veracruz,1100,"café andrade, s.a. de c.v."
Mexico,chiapas,1200,exportadora café california
Mexico,xalapa,1200,
Mexico,veracruz,1000,cafes de naranjal s.a. de c.v
Mexico,coscomatepec,940,
Mexico,sierra alta mixe y zapoteca,1200 meters,upctiz zapoteca s.p.r. de r.l.
Mexico,"motozintla, chiapas",850,industrializadora de kaffee andes s.a. de c.v.
Mexico,zaragoza itundujia,1550,cafeorganico.mx
Mexico,coatepec,1250,café katsina
Mexico,"chapulhuacan, hidalgo",981,
Mexico,"huazalingo, hidalgo",690,
Mexico,oaxaca,1100,
Mexico,veracruz,1650,
Mexico,amatenango de la frontera,12oo,café pico de loro
Mexico,chiapas,1350-1500,agroindustrias unidas de mexico sa de cv
Mexico,santo domingo cacalotepec,1480,
Mexico,"siltepec el triunfo, chiapas, mexico",1550 meters,globus coffee
Mexico,tlatlauquitepec,800,cafe colonial de tlatlauquitepec
Mexico,veracruz,1500,
Mexico,veracruz,1800,
Mexico,"sierra norte yajalon, chiapas",1000 meters,globus coffee
Mexico,"calnali, hidalgo",808,
Mexico,juchique de ferrer,900,terra mia
Mexico,"tenango de doria, hidalgo",774,
Mexico,"iliatenco, guerrero",1300,café monteabuelo s.a. de c.v.
Mexico,chilón,940,estrategias constructivas corzu s.a. de c.v.
Mexico,atoyac de alvarez,1100,
Mexico,sierra madre occidental,1600,cafe don balbino s.c. de r.l. de c.v.
Mexico,santo reyes nopala,1300,
Mexico,santa maria sitepec,1642,comercializadora profesional mexicana s.a. de c.v.
Mexico,talpa de allende,1200,
Mexico,zaragoza itundujia,1450,cafeorganico.mx
Mexico,los angeles,1200,
Mexico,villa talea de castro,1400,villa talea café
Mexico,xicotepec de juarez,900,agro xicotepec 2000
Mexico,la concordia,1500,ecomtrading
Mexico,"motozintla, chiapas",950,industrializadora de kaffee andes s.a. de c.v.
Mexico,adolfo lopez mateos,1100,organizaciones de productores de cafe colimense sa de cv
Mexico,san fernando,1650,cafetera el grande s.a. de c.v.
Mexico,la yerbabuena,1400,organizaciones de productores de cafe colimense sa de cv
Mexico,"huazalingo, hidalgo",700,
Mexico,"sierra, chiapas",1600 meters,unión de ejidos san fernando
Mexico,cofradia de suchitlan,1300,organizaciones de productores de cafe colimense sa de cv
Mexico,ixhuatlan del cafe,1186,
Mexico,yecuatla,1150,
Mexico,motozintla,1210,productora rural la victoria s.p.r. de r.l.
Mexico,oaxaca,1100,café san blas
Mexico,veracruz,100,
Mexico,oaxaca,1200,
Mexico,tapachula,1400,ecomtrading
Mexico,veracruz,1100,grupo santab s.a. de c.v.
Mexico,xalapa,1170,finca los barreales
Mexico,xicotepec de juarez,1100,
Mexico,motozintla,1500,ecomtrading
Mexico,la concordia,1600,finca santa cruz
Mexico,zaragoza itundujia,1400,cafeorganico.mx
Mexico,"la concordia, chiapas",1150,ecomtrading
Mexico,amatenango de la frontera,1600,ecomtrading
Mexico,temaxcalapa,1100,
Mexico,manzanillo,1000,
Mexico,tapachula,1250,
Mexico,veracruz,1250,
Mexico,veracruz,1320,empagri s.p.r. de r.l. de c.v.
Mexico,veracruz,1100,cafes tomari sa de cv
Mexico,"chiapas, jaltenango",1200,exportadora café california
Mexico,cordoba,1050,
Mexico,siltepec el triunfo,1550 meter,globus coffee
Mexico,"huazalingo, hidalgo",763,
Mexico,"coatepec, coatepec",1100,grupo cafetalero los brujos
Mexico,veracruz,1130,ac la laja sa de cv
Mexico,xalapa,1320,
Mexico,veracruz,1000,
Mexico,pochutla,1050,ecomtrading
Mexico,veracruz,1300,cafes tomari sa de cv
Mexico,"ohuapan, tlaltetela",1350,
Mexico,"xochitonalco, huautla        ",1300,asociación agricola local de productores de café de huautla de jimenez        
Mexico,xalapa,1000,ecomtrading
Mexico,coatepec,1100,exportadora moretto s.a. de c.v.
Mexico,coatepec,1250,
Mexico,"chocaman, veracruz",1140,
Mexico,tuxtla gutierrez,1100,cafe montegrande
Mexico,la yerba,1296,productos y servicios chilindron s.a. de c.v.
Mexico,san isidro,700,
Mexico,chiapas,1022,comon yaj noptic s. de ss
Mexico,veracruz,1300,"cafetal el equimite, rancho agroecológico, s.p.r. de r.l."
Mexico,huautla de jimenez,1280,union regional de cafeticultores de la mazateca alta
Mexico,san bartolo tutotepec,1089,
Mexico,,1100,cafe montegrande
Mexico,mahuixtlan,950,grupo cafetalero los brujos
Mexico,"tlanchinol, hidalgo",532,
Mexico,chiapas,1500,cesmach s.c.
Mexico,tuxtla gutierrez,1700,
Mexico,veracruz,,sustainable harvest
Mexico,tapachula,1800,indigenas de la sierra madre de motozintla san isidro labrador s. de s.s.
Mexico,oaxaca,1250,
Mexico,colima,1150,organizaciones de productores de cafe colimense sa de cv
Mexico,veracruz,1300,
Mexico,chiapas,1500-1700m,lusso coffee lab
Mexico,san bartolo tutotepec,1679,
Mexico,zapotitlan de mendez,1100,cafe de la sierra norte de puebla
Mexico,la concordia,1650,finca santa cruz
Mexico,"la concordia, chiapas",1300,ecomtrading
Mexico,"pluma hidalogo, oaxaca",1200 m,
Mexico,chiapas,1560,cesmach s.c.
Mexico,san pedro cotzilnam,1400,carajillo café sa de cv
Mexico,veracruz,1300,finca kassandra
Mexico,mexico,1400 masl,
Mexico,la concordia,1380,ecomtrading
Mexico,atoyac de alvarez,1200,cafe shunuc
Mexico,atoyac de alvarez,1200,finca la estancia
Mexico,coatepec,1200,ecomtrading
Mexico,"coatepec, coatepec",1100,
Mexico,hustusco,1350,
Mexico,xicotepec de juarez,800,cafessisimo compañia s.a. de c.v.
Mexico,el remudadero,1200,organizaciones de productores de cafe colimense sa de cv
Mexico,jaltenango,1500,ecomtrading
Mexico,cuarenteño,1059,productos y servicios chilindron s.a. de c.v.
Mexico,chiapas,1300 meters,"tony's coffee and teas, inc."
Mexico,zentla,950,
Mexico,santa catarina juquila,1400,finca las nubes
Mexico,petatlan,1248,
Mexico,coatepec,1300,
Mexico,la cumbre,1400 m,union de ejidos san fernando de ri
Mexico,tapachula,900,finca hamburgo
Mexico,tepetzingo,1250,cafetera el grande s.a. de c.v.
Mexico,tepictla,1250,el mejor café
Mexico,"coatepec, coatepec",1264,ecomtrading
Mexico,la concordia,1550,beneficio custepec s.a. de c.v.
Mexico,veracruz,1250,ecomtrading
